"Landbouw; gewassen, dieren en grondgebruik naar regio",,,,
,,,,
,,,,
,Regio's,Nederland,187 bedrijven,%
,,,,
"Graasdieren|Aantal dieren|Rundvee|Rundvee, totaal",aantal,3820578,35836,0.94%
"Graasdieren|Aantal dieren|Schapen|Schapen, totaal",aantal,860151,0,0.00%
"Graasdieren|Aantal dieren|Geiten|Geiten, totaal",aantal,643364,2237,0.35%
"Graasdieren|Aantal dieren|Paarden en pony's|Paarden en pony's, totaal",aantal,97602,0,0.00%
"Hokdieren|Aantal dieren|Varkens|Varkens, totaal",aantal,11456831,278688,2.43%
"Hokdieren|Aantal dieren|Kippen|Kippen, totaal",aantal,99887461,1220014,1.22%
Hokdieren|Aantal dieren|Kalkoenen,aantal,604139,46100,7.63%
Hokdieren|Aantal dieren|Slachteenden,aantal,632298,0,0.00%
Hokdieren|Aantal dieren|Overig pluimvee,aantal,32031,0,0.00%
"Hokdieren|Aantal dieren|Konijnen|Konijnen, totaal",aantal,321290,0,0.00%
Hokdieren|Aantal dieren|Edelpelsdieren,aantal,0,0,#DIV/0!
,,,,
Totaal,,118355745,1582875,1.34%
